depth,speed
0.0,1470.745
10.0,1470.818
20.0,1471.034
30.0,1471.52
40.0,1472.928
50.0,1473.723
60.0,1474.049
70.0,1474.274
80.0,1474.245
90.0,1474.13
100.0,1473.156
110.0,1471.955
120.0,1470.993
130.0,1470.434
140.0,1469.433
150.0,1468.73
160.0,1467.742
170.0,1466.003
180.0,1465.951
190.0,1465.583
200.0,1464.402
250.0,1466.194
300.0,1466.355
350.0,1468.559
400.0,1469.423
450.0,1470.027
500.0,1471.982
550.0,1473.476
600.0,1474.005
700.0,1475.041
800.0,1475.494
900.0,1476.246
1200.0,1479.369
1727.8,1486.117
